Potential_Customer,Cust_Last_Purchase,Pur_3_years,Pur_5_years,Pur_3_years_Indirect,Pur_5_years_Indirect,Pur_latest,Pur_3_years_Avg,Pur_5_years_Avg,Pur_3_years_Avg_Indirect,InAct_Last,InAct_First,Ad_Res_5_Year,Ad_Res_Ind_1_Year,Ad_Res_Ind_3_Year,Ad_Res_Ind_5_Year,Status_Cust,Status_Latest_Ad,Age,Gender,Cust_Prop,Cust_Ann_Income,Ad_Res_Avg
1,5.0,2,17,2,4,0.0,7.5,7.76,7.5,14,110,73,3,12,16,A,0,71.0,F,H,65957.0,51.0
1,30.0,1,7,0,3,25.0,25.0,13.0,11.67,18,75,55,6,6,22,A,1,59.018761061946904,M,U,41608.89441680486,34.333
0,0.0,5,12,3,5,15.0,15.0,11.25,14.67,19,57,53,6,17,22,S,1,79.0,F,U,41608.89441680486,34.0
1,20.0,1,11,0,3,20.0,20.0,12.45,11.67,5,113,71,8,8,33,A,0,73.0,F,U,76293.0,42.0
1,5.0,3,15,2,7,3.0,4.33,3.8,4.0,17,118,63,6,12,24,S,1,68.0,F,H,113663.0,34.667
1,10.0,4,15,4,12,10.0,7.75,7.0,7.75,16,120,72,6,16,33,A,1,67.0,F,H,62230.0,40.0
0,0.0,3,12,3,8,18.0,18.0,14.58,18.0,24,111,63,6,17,27,A,1,78.0,M,H,62230.0,35.333
0,0.0,1,3,1,3,20.0,20.0,18.33,20.0,20,58,36,4,10,14,A,0,48.0,M,H,62230.0,23.0
1,13.0,4,16,3,9,5.0,7.75,8.06,7.0,24,122,60,3,14,27,S,1,49.0,F,H,56828.0,30.667
0,0.0,4,14,4,14,16.0,14.5,11.57,14.5,16,104,72,6,16,30,S,1,63.0,M,H,56828.0,40.0
0,0.0,3,5,0,1,15.0,12.67,10.6,11.67,19,40,32,6,6,13,S,1,73.0,M,H,56828.0,24.333
0,0.0,8,11,4,5,12.0,10.5,9.45,10.5,17,41,38,6,17,16,S,1,71.0,F,H,56828.0,28.333
0,0.0,4,27,3,13,5.0,4.5,3.78,4.33,16,123,74,5,15,29,S,1,37.0,F,H,56828.0,39.333
1,10.0,3,18,1,8,10.0,10.0,8.39,10.0,18,128,81,7,16,33,S,1,45.0,F,H,87665.0,43.667
0,0.0,4,18,4,10,25.0,26.25,21.61,26.25,17,128,84,6,16,33,A,1,42.0,F,H,87665.0,44.333
0,0.0,1,19,1,16,10.0,10.0,8.32,10.0,15,125,70,3,10,29,E,1,17.0,F,H,87665.0,34.333
1,20.0,1,4,0,2,15.0,15.0,16.25,11.67,26,65,46,4,4,16,A,0,76.0,M,H,87665.0,28.0
0,0.0,3,3,0,0,10.0,13.33,13.33,11.67,16,28,24,6,6,11,A,1,40.0,F,H,87665.0,21.333
1,25.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,13,4,6,5,F,0,80.0,M,H,87665.0,12.667
0,0.0,4,5,3,3,25.0,21.25,22.0,20.0,17,33,31,6,15,13,A,0,59.018761061946904,M,U,100910.0,25.333
0,0.0,2,10,2,6,35.0,32.5,20.9,32.5,15,87,58,10,19,26,S,1,37.0,F,H,165543.0,41.0
0,0.0,5,10,3,5,14.0,14.8,12.8,14.67,22,77,52,5,15,20,A,1,77.0,F,U,41608.89441680486,30.667
0,0.0,1,10,0,4,20.0,20.0,14.0,11.67,18,110,66,6,6,29,A,1,62.0,F,H,73899.0,37.333
0,0.0,1,1,1,1,20.0,20.0,20.0,20.0,17,17,13,4,6,5,F,0,43.0,F,H,107105.0,12.667
0,0.0,1,14,0,5,17.0,17.0,16.14,11.67,26,81,61,5,5,23,A,1,41.0,M,U,41608.89441680486,34.667
0,0.0,5,8,1,1,10.0,7.6,8.88,10.0,15,44,38,6,16,16,A,0,59.018761061946904,M,U,41608.89441680486,28.333
1,25.0,2,11,2,10,30.0,27.5,17.0,27.5,16,124,53,4,11,26,A,1,67.0,F,H,107272.0,27.333
0,0.0,3,7,1,5,16.0,14.0,11.43,12.0,18,76,57,6,15,21,A,1,79.0,M,H,107272.0,34.333
1,5.0,4,12,3,6,10.0,11.0,9.83,11.33,16,68,58,5,15,22,S,1,59.018761061946904,M,H,107272.0,33.667
1,26.0,1,10,0,5,21.0,21.0,8.4,11.67,17,130,58,5,5,26,A,1,68.0,M,H,66090.0,31.333
1,5.0,5,23,3,14,3.0,3.4,3.17,3.67,16,128,66,5,12,26,S,1,76.0,M,H,66090.0,35.333
0,0.0,9,23,6,13,3.0,3.67,3.43,3.67,17,75,55,6,17,23,S,1,67.0,M,U,41608.89441680486,33.0
0,0.0,2,32,1,17,25.0,25.0,9.44,25.0,17,126,137,9,20,56,A,1,27.0,M,H,66090.0,67.667
0,0.0,1,4,1,3,25.0,25.0,16.25,25.0,17,57,45,6,15,17,A,0,59.018761061946904,M,U,41608.89441680486,30.0
0,0.0,1,1,0,0,15.0,15.0,15.0,11.67,16,16,13,4,4,5,F,0,43.0,F,H,73671.0,13.333
0,0.0,6,16,3,9,10.0,8.0,7.06,6.67,17,81,61,6,16,25,S,1,65.0,F,U,41608.89441680486,35.667
1,14.0,2,4,1,1,15.0,12.5,10.0,15.0,16,44,33,5,12,13,A,0,59.018761061946904,F,H,67047.0,24.667
1,15.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,14,3,5,5,F,0,69.0,F,U,67047.0,13.0
1,12.0,2,9,2,6,15.0,15.0,12.22,15.0,25,86,54,6,16,24,A,0,59.018761061946904,M,U,76594.0,34.0
1,12.0,6,22,3,12,14.0,12.33,8.77,12.33,15,130,77,6,15,32,S,1,67.0,M,H,76594.0,41.0
0,0.0,4,5,3,3,20.0,10.25,9.6,10.0,22,35,34,6,16,14,A,0,35.0,M,H,76594.0,26.0
1,15.0,2,7,1,2,10.0,12.5,9.0,15.0,17,45,62,6,15,16,A,0,59.018761061946904,M,H,106020.0,45.333
1,15.0,2,9,1,6,15.0,15.5,9.56,16.0,26,81,54,5,16,23,A,1,71.0,F,U,41608.89441680486,31.333
0,0.0,1,1,1,1,15.0,15.0,15.0,15.0,17,17,14,4,6,5,F,0,51.0,F,H,106020.0,13.667
0,0.0,4,19,2,12,5.0,9.25,6.68,9.0,16,129,69,6,15,30,S,1,85.0,F,H,106020.0,36.667
1,10.0,8,25,5,14,10.0,8.0,5.88,8.0,21,104,72,6,17,29,S,1,70.0,F,H,40165.0,38.667
0,0.0,7,9,4,4,10.0,8.57,7.78,8.5,17,44,33,4,13,13,S,1,59.018761061946904,F,U,41608.89441680486,22.333
0,0.0,2,7,1,2,25.0,10.0,10.71,10.0,18,69,50,6,14,18,A,0,59.018761061946904,M,H,41608.89441680486,31.333
1,25.0,1,4,1,1,20.0,50.0,22.5,50.0,10,17,32,5,7,6,F,0,59.018761061946904,F,H,89773.0,31.0
1,15.0,4,7,2,4,12.0,12.75,11.0,12.0,17,45,39,6,17,17,S,1,50.0,M,H,89773.0,28.333
0,0.0,3,23,2,11,52.0,48.67,38.87,49.5,16,110,112,6,17,33,S,1,59.018761061946904,M,H,87767.0,63.667
1,4.0,5,18,5,11,5.0,3.6,3.06,3.6,15,107,60,4,11,25,A,1,62.0,F,U,87767.0,32.333
0,0.0,1,7,0,6,20.0,20.0,18.57,11.67,17,104,65,6,6,27,A,0,53.0,F,H,87767.0,36.333
0,0.0,1,4,1,3,20.0,20.0,23.75,20.0,17,76,50,6,12,19,A,1,69.0,M,H,87767.0,29.667
0,0.0,3,4,2,3,20.0,20.0,17.5,20.0,25,42,33,6,16,15,A,0,59.018761061946904,F,U,41608.89441680486,25.333
1,25.0,1,2,1,1,10.0,16.0,13.0,16.0,15,17,16,5,7,6,N,0,66.0,M,H,87767.0,16.0
0,0.0,1,1,1,1,20.0,20.0,20.0,20.0,24,24,16,3,7,6,N,0,53.0,F,H,118487.0,13.333
1,40.0,1,3,0,1,25.0,40.0,35.0,11.67,18,44,41,6,6,17,A,0,43.0,M,H,72452.0,29.667
0,0.0,2,4,0,1,15.0,15.0,13.0,11.67,26,45,35,4,4,15,A,0,49.0,F,H,59240.0,24.667
1,10.0,13,56,8,24,7.0,10.31,8.29,10.25,17,93,147,11,22,42,S,1,60.0,F,H,54341.0,79.667
1,25.0,1,1,1,1,25.0,25.0,25.0,25.0,21,21,17,5,8,7,F,0,42.0,F,H,54341.0,15.333
0,0.0,3,10,1,5,12.0,13.0,9.0,18.0,5,68,68,10,18,25,L,0,67.0,F,U,41608.89441680486,49.0
1,15.0,2,2,1,1,15.0,12.5,12.5,10.0,18,28,22,4,10,9,A,0,41.0,M,H,42613.0,19.0
1,11.0,6,8,4,5,10.0,5.33,5.63,5.0,17,40,31,6,15,14,S,1,72.0,F,H,42613.0,25.333
0,0.0,2,2,2,2,50.0,37.5,37.5,37.5,21,29,25,6,13,11,A,0,65.0,M,H,42613.0,21.667
0,0.0,1,1,0,0,20.0,20.0,20.0,11.67,20,20,16,4,4,5,F,0,67.0,M,H,58282.0,14.0
1,20.0,1,1,1,1,20.0,20.0,20.0,20.0,21,21,15,4,7,6,F,0,59.018761061946904,F,U,40014.0,14.0
0,0.0,1,1,0,0,20.0,20.0,20.0,11.67,15,15,12,5,5,6,F,0,59.018761061946904,M,U,93202.0,12.0
0,0.0,1,5,1,4,30.0,30.0,16.0,30.0,17,93,53,6,14,22,A,0,35.0,M,H,122794.0,32.0
1,20.0,2,4,1,2,27.0,27.0,22.25,27.0,24,81,47,6,16,19,A,0,17.0,M,H,122794.0,30.333
1,8.0,6,7,4,4,8.0,7.67,7.43,7.0,17,28,24,6,12,10,A,1,73.0,F,H,122794.0,20.333
